game_minute,hit_diff,shot_diff,goal_diff,win,game,win_prob,Game Description
0,-1,0,0,1,2017030144,0.5497955074231653,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
1,0,2,0,1,2017030144,0.5498136870396526,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
2,-1,2,0,1,2017030144,0.5498942243491028,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
3,-2,2,0,1,2017030144,0.5500371132743445,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
4,-1,2,1,1,2017030144,0.5846570029535925,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
5,-3,4,1,1,2017030144,0.5936479689801665,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
6,-3,4,1,1,2017030144,0.6022648752892901,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
7,-2,5,1,1,2017030144,0.6106703295686298,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
8,-2,5,1,1,2017030144,0.619136794891035,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
9,0,6,1,1,2017030144,0.6270786045668806,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
10,0,5,1,1,2017030144,0.6352663440056864,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
11,-3,5,1,1,2017030144,0.6444055067281793,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
12,-3,2,1,1,2017030144,0.6522845186872531,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
13,-3,-1,1,1,2017030144,0.6600316007064635,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
14,-3,-1,2,1,2017030144,0.7673790671670914,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
15,-2,-1,2,1,2017030144,0.7794839441868356,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
16,-2,-2,2,1,2017030144,0.7913246267682968,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
17,-3,-2,2,1,2017030144,0.8031165140694764,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
18,-3,-2,2,1,2017030144,0.8140935063905229,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
19,-4,-2,2,1,2017030144,0.824938070756102,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
20,-4,0,2,1,2017030144,0.8351681412523779,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
21,-4,1,2,1,2017030144,0.8448309635143922,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
22,-3,2,2,1,2017030144,0.8536896854511076,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
23,-1,3,2,1,2017030144,0.8617591845572025,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
24,-2,3,2,1,2017030144,0.8703297305156509,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
25,-2,3,2,1,2017030144,0.878134165479681,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
26,-3,3,2,1,2017030144,0.885862229947114,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
27,-3,4,2,1,2017030144,0.8929537770218847,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
28,-2,4,3,1,2017030144,0.9599925814658934,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
29,-3,3,3,1,2017030144,0.9639734114788364,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
30,-3,4,4,1,2017030144,0.98850116433349,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
31,-3,5,4,1,2017030144,0.9900174676491756,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
32,-4,3,4,1,2017030144,0.9913405465628744,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
33,-3,3,4,1,2017030144,0.9924463503458252,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
34,-5,2,4,1,2017030144,0.9934857391540248,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
35,-4,2,4,1,2017030144,0.9943182546738496,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
36,-4,2,4,1,2017030144,0.9950659786949596,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
37,-4,2,4,1,2017030144,0.9957157253882852,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
38,-5,1,4,1,2017030144,0.9962927755341888,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
39,-6,0,4,1,2017030144,0.9967929236601216,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
40,-6,-1,4,1,2017030144,0.9972123052988252,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
41,-6,0,4,1,2017030144,0.9975840696684448,2018-04-18 - Pittsburgh Penguins beat Philadelphia Flyers
